Round,Date,Time,Team 1,Team 2,FT,HT
1,1967-08-18,20:00,MSV Duisburg,Borussia Dortmund,2-2,2-1
1,1967-08-19,16:00,TSV 1860 München,Eintracht Braunschweig,1-0,0-0
1,1967-08-19,16:00,FC Schalke 04,Bor. Mönchengladbach,3-4,0-2
1,1967-08-19,16:00,VfB Stuttgart,Eintracht Frankfurt,4-0,2-0
1,1967-08-19,16:00,Alemannia Aachen,Bayern München,0-4,0-1
1,1967-08-19,16:00,1. FC Nürnberg,Karlsruher SC,2-0,2-0
1,1967-08-19,16:00,Hannover 96,1. FC Köln,3-0,1-0
1,1967-08-19,16:00,1. FC Kaiserslautern,Borussia Neunkirchen,2-1,1-0
1,1967-08-19,16:00,Werder Bremen,Hamburger SV,1-4,1-1
2,1967-08-26,16:00,Eintracht Frankfurt,Werder Bremen,5-3,4-2
2,1967-08-26,16:00,Karlsruher SC,MSV Duisburg,0-2,0-0
2,1967-08-26,16:00,Borussia Neunkirchen,1. FC Nürnberg,2-2,1-0
2,1967-08-26,16:00,Eintracht Braunschweig,FC Schalke 04,1-0,1-0
2,1967-08-26,16:00,Hamburger SV,1. FC Kaiserslautern,1-1,1-0
2,1967-08-26,16:00,1. FC Köln,TSV 1860 München,1-0,0-0
2,1967-08-26,16:00,Bayern München,Hannover 96,1-0,0-0
2,1967-08-26,16:00,Bor. Mönchengladbach,VfB Stuttgart,1-1,0-1
2,1967-08-26,16:00,Borussia Dortmund,Alemannia Aachen,1-0,1-0
3,1967-09-02,16:00,MSV Duisburg,Borussia Neunkirchen,3-1,1-1
3,1967-09-02,16:00,VfB Stuttgart,Eintracht Braunschweig,0-0,0-0
3,1967-09-02,16:00,Hannover 96,Borussia Dortmund,2-2,1-0
3,1967-09-02,16:00,Werder Bremen,Bor. Mönchengladbach,0-4,0-1
3,1967-09-02,16:00,1. FC Kaiserslautern,Eintracht Frankfurt,1-1,1-0
3,1967-09-02,16:00,1. FC Nürnberg,Hamburger SV,4-0,2-0
3,1967-09-02,16:00,Alemannia Aachen,Karlsruher SC,2-1,0-0
3,1967-09-02,16:00,FC Schalke 04,TSV 1860 München,0-0,0-0
3,1967-09-02,16:00,Bayern München,1. FC Köln,0-3,0-0
4,1967-09-09,16:00,Borussia Neunkirchen,Alemannia Aachen,0-1,0-1
4,1967-09-09,16:00,Eintracht Braunschweig,Werder Bremen,0-3,0-1
4,1967-09-09,16:00,1. FC Köln,FC Schalke 04,7-0,1-0
4,1967-09-09,16:00,TSV 1860 München,VfB Stuttgart,3-3,2-0
4,1967-09-09,16:00,Eintracht Frankfurt,1. FC Nürnberg,1-2,1-1
4,1967-09-09,16:00,Hamburger SV,MSV Duisburg,1-3,1-2
4,1967-09-09,16:00,Bor. Mönchengladbach,1. FC Kaiserslautern,8-2,3-1
4,1967-09-09,16:00,Karlsruher SC,Hannover 96,3-1,1-1
4,1967-09-09,16:00,Borussia Dortmund,Bayern München,6-3,2-2
5,1967-09-13,20:00,Borussia Dortmund,1. FC Köln,2-0,1-0
5,1967-09-13,20:00,1. FC Kaiserslautern,Eintracht Braunschweig,2-2,1-0
5,1967-09-13,20:00,Hannover 96,Borussia Neunkirchen,2-0,1-0
5,1967-09-13,20:00,1. FC Nürnberg,Bor. Mönchengladbach,1-0,0-0
5,1967-09-13,20:00,MSV Duisburg,Eintracht Frankfurt,0-1,0-0
5,1967-09-13,20:00,Alemannia Aachen,Hamburger SV,2-0,1-0
5,1967-09-13,20:00,Werder Bremen,TSV 1860 München,2-2,2-2
5,1967-09-13,20:00,Bayern München,Karlsruher SC,3-0,1-0
5,1967-09-13,20:00,VfB Stuttgart,FC Schalke 04,2-0,0-0
6,1967-09-16,16:00,Bor. Mönchengladbach,MSV Duisburg,1-1,1-0
6,1967-09-16,16:00,1. FC Köln,VfB Stuttgart,2-2,0-2
6,1967-09-16,16:00,Karlsruher SC,Borussia Dortmund,2-0,1-0
6,1967-09-16,16:00,FC Schalke 04,Werder Bremen,0-2,0-0
6,1967-09-16,16:00,Borussia Neunkirchen,Bayern München,1-1,0-0
6,1967-09-16,16:00,TSV 1860 München,1. FC Kaiserslautern,0-3,0-0
6,1967-09-16,16:00,Eintracht Frankfurt,Alemannia Aachen,1-1,1-1
6,1967-09-16,16:00,Hamburger SV,Hannover 96,2-3,1-1
6,1967-09-16,16:00,Eintracht Braunschweig,1. FC Nürnberg,0-3,0-2
7,1967-09-22,20:00,MSV Duisburg,Eintracht Braunschweig,2-3,1-3
7,1967-09-23,16:00,Borussia Dortmund,Borussia Neunkirchen,6-0,4-0
