Date,Team 1,Team 2,FT,HT
2011-07-15,Cottbus,Dresden,2-1,0-1
2011-07-15,Frankfurt FSV,Union Berlin,1-1,0-1
2011-07-15,Greuther Furth,Ein Frankfurt,2-3,2-0
2011-07-16,Erzgebirge Aue,Aachen,1-0,0-0
2011-07-16,St Pauli,Ingolstadt,2-0,0-0
2011-07-17,Braunschweig,Munich 1860,3-1,3-1
2011-07-17,Hansa Rostock,Paderborn,1-2,1-1
2011-07-17,Karlsruhe,Duisburg,3-2,3-2
2011-07-18,Fortuna Dusseldorf,Bochum,2-0,0-0
2011-07-22,Bochum,Frankfurt FSV,1-0,0-0
2011-07-22,Duisburg,Cottbus,1-2,1-2
2011-07-22,Ingolstadt,Erzgebirge Aue,0-0,0-0
2011-07-23,Munich 1860,Karlsruhe,2-1,1-1
2011-07-23,Union Berlin,Greuther Furth,0-4,0-2
2011-07-24,Aachen,Braunschweig,0-2,0-1
2011-07-24,Dresden,Hansa Rostock,1-1,0-0
2011-07-24,Paderborn,Fortuna Dusseldorf,1-1,0-1
2011-07-25,Ein Frankfurt,St Pauli,1-1,0-1
2011-08-05,Fortuna Dusseldorf,Ingolstadt,4-1,1-0
2011-08-05,St Pauli,Aachen,3-1,2-1
2011-08-05,Union Berlin,Paderborn,3-0,1-0
2011-08-06,Cottbus,Munich 1860,0-5,0-4
2011-08-06,Greuther Furth,Dresden,1-0,0-0
2011-08-07,Braunschweig,Ein Frankfurt,0-3,0-1
2011-08-07,Erzgebirge Aue,Karlsruhe,0-2,0-1
2011-08-07,Frankfurt FSV,Duisburg,0-0,0-0
2011-08-08,Hansa Rostock,Bochum,0-0,0-0
2011-08-12,Bochum,St Pauli,1-2,1-1
2011-08-12,Dresden,Union Berlin,4-0,1-0
2011-08-12,Karlsruhe,Braunschweig,1-3,1-2
2011-08-13,Aachen,Cottbus,0-2,0-0
2011-08-13,Paderborn,Greuther Furth,0-1,0-0
2011-08-14,Duisburg,Hansa Rostock,0-0,0-0
